title,poster_url,trailer_url
Ходячий замок,https://static.kinoafisha.info/k/movie_posters/1080x1920/upload/movie_posters/6/6/9/329966/7d296e679bd0281c7b36545582d17e91.jpg,https://www.kinoafisha.info/trailers/7a4f560305febf88a00d1a4553b76cf0/
Тайна Коко,https://static.kinoafisha.info/k/movie_posters/1080x1920/upload/movie_posters/2/0/3/8329302/c5393f718e29387b59656b9f19a813ac.jpeg,https://www.kinoafisha.info/trailers/a17aff3e8333b1684b69bb1a1138c17b/
Мстители: Война бесконечности,https://static.kinoafisha.info/k/movie_posters/1080x1920/upload/movie_posters/3/0/9/8169903/b9bde867b7ef40dedfdd76005f28dedd.jpeg,https://www.kinoafisha.info/trailers/50ef0fc61da6bfad6392005bc7c58f9f/
Хатико: самый верный друг,https://static.kinoafisha.info/k/movie_posters/1080x1920/upload/movie_posters/4/6/7/7719764/01b17786b5a4f2385718e1ffc4b8f6ba.jpg,https://www.kinoafisha.info/trailers/a321231a7f57432441f74fa15494d2fd/
ВОЛЕЙБОЛ!! Битва на мусорной свалке,https://static.kinoafisha.info/k/movie_posters/1080x1920/upload/movie_posters/8/9/7/8375798/495627501712235278.jpg,https://www.kinoafisha.info/trailers/af035e9a00c59775237f165980544313/
Место встречи изменить нельзя,https://static.kinoafisha.info/k/movie_posters/1080x1920/upload/movie_posters/5/9/5/7731595/f27587c5725625fe0d09811ba9f85ce3.jpg,
Кот в сапогах 2: Последнее желание,https://static.kinoafisha.info/k/movie_posters/1080x1920/upload/movie_posters/5/2/5/8168525/782882721516.jpg,https://www.kinoafisha.info/trailers/afc68f196eed76218429fb2aa042fe9e/
Твое имя,https://static.kinoafisha.info/k/movie_posters/1080x1920/upload/movie_posters/5/7/8/8329875/0b17d1e5cb41fcaf5263745e415e53dd.jpeg,https://www.kinoafisha.info/trailers/9548d63a94e7c7b68f21297f8e4e8870/
ВАЛЛ-И,https://static.kinoafisha.info/k/movie_posters/1080x1920/upload/movie_posters/8/7/9/3338978/51863675c490a4274e6dfdfb71d4b97f.jpg,https://www.kinoafisha.info/trailers/82e472322a41049b7a76c5cc86221a2e/
Мстители: Финал,https://static.kinoafisha.info/k/movie_posters/1080x1920/upload/movie_posters/9/8/6/8319689/82baec3bbdf4c6395750e46d6ca1325c.jpeg,https://www.kinoafisha.info/trailers/e42c7f5472deaf7d80fb6ec9f9b416a6/
Пираты Карибского моря: Проклятие черной жемчужины,https://static.kinoafisha.info/k/movie_posters/1080x1920/upload/movie_posters/1/7/3/5371/167e903b539cb0035ddd8d2bbe4090f3.jpeg,https://www.kinoafisha.info/trailers/a20439e25bbd120611f56d6435ff10c8/
BTS: Love Yourself Tour in Seoul,https://static.kinoafisha.info/k/movie_posters/1080x1920/upload/movie_posters/7/7/4/8355477/1ce32281a7f2312f258ad8fb26581b9f.jpeg,
Храброе сердце,https://static.kinoafisha.info/k/movie_posters/1080x1920/upload/movie_posters/3/6/2/5413263/1ddb2b2a8926b11948a668ed057fe32c.jpeg,https://www.kinoafisha.info/trailers/c9c6585b4bc87be94b384fe0775265e0/
Джентльмены удачи,https://static.kinoafisha.info/k/movie_posters/1080x1920/upload/movie_posters/3/5/7/5435753/03b12dcc2e9efc80613a392b45814423.jpg,https://www.kinoafisha.info/trailers/6e6a5da21767ea6d2549ef9d09edade0/
Огненный лис,https://static.kinoafisha.info/k/movie_posters/1080x1920/upload/movie_posters/1/5/2/8374251/949436155795.jpg,https://www.kinoafisha.info/trailers/1fb64df8b1340429b881959febc935ff/
Интерстеллар,https://static.kinoafisha.info/k/movie_posters/1080x1920/upload/movie_posters/4/1/8/5435814/6862106ad602764c6468af282afbb078.jpg,https://www.kinoafisha.info/trailers/9cecf16fcc8ee3692db36775bbd0ef86/
FORD против FERRARI,https://static.kinoafisha.info/k/movie_posters/1080x1920/upload/movie_posters/7/5/4/8354457/17e53446c554421eee58cf0f83b06d00.jpeg,https://www.kinoafisha.info/trailers/d46b06f6889d8aaeeef9ef7aba725e2e/
Бриллиантовая рука,https://static.kinoafisha.info/k/movie_posters/1080x1920/upload/movie_posters/5/7/1/5425175/246836898901.jpg,https://www.kinoafisha.info/trailers/facb9a9c0bde1315f136f49dd97c750f/
Истребитель демонов: Поезд «Бесконечный»,https://static.kinoafisha.info/k/movie_posters/1080x1920/upload/movie_posters/0/5/4/8364450/c553308bf32c0471ba818d3a146aa578.jpg,https://www.kinoafisha.info/trailers/7cd31de6285c3821c970965f599ea6d0/
